banque,url_brochure_tarifaire,commission_mouvement_fixe,commission_mouvement_variable,virement_sepa_sortant,paiement_prelevement_sepa,ecriture_comptable,tenue_compte,actualisation_compte,banque_distance,total_frais_fixes
Banque Palatine,https://www.palatine.fr/fileadmin/user_upload/pdf/tarifs/TARIFS-2022-Entreprises.pdf,"23,33","0,00","0,23","0,00","0,00","31,67","25,00","45,00","125,00"
Banque Populaire,https://www.img.banquepopulaire.fr/app/uploads/sites/28/2021/12/22144448/bat-professionnelentreprise-2022.pdf,"6,67","0,00","0,00","0,00","0,00","36,67","6,67","15,00","65,00"
BNP Paribas,https://dam.bnpparibas.com/sms2/externe/office/vcm_1641465056638_8842308912813508674.pdf,"10,00","0,00","0,20","0,00","0,00","30,00","18,13","44,00","102,13"
BRED,https://www.bred.fr/medias/pdf/tarifs/2022/tarifs-entreprises-metropole-2022.pdf,"15,83","0,00","0,00","0,00","0,00","26,00","15,83","30,00","87,66"
Caisse d’Épargne,https://www.img.caisse-epargne.fr/app/uploads/sites/12/2021/12/03154544/ceidf-tarification-entreprises-et-institutionnels-01-01-2022.pdf,"8,33","0,00","0,20","0,00","0,00","36,67","20,83","20,00","85,83"
CIC,https://www.cic.fr/partage/fr/CC/CIC-2015/telechargements/tarifs/Tarifs_CIC_Entreprises_2022.pdf,"16,00","0,00","0,21","0,00","0,10","36,00","16,67","39,00","107,67"
Crédit Agricole,https://www.credit-agricole.fr/content/dam/assetsca/cr882/npc/documents/tarifs-2022/CA%20IDF_Entreprises_T2022_GV.pdf,"5,00","0,00","0,25","0,00","0,00","35,00","24,58","9,60","74,18"
Crédit Coopératif,https://www.credit-cooperatif.coop/telechargement-condition-generale?key=715uQGq3lRvdudmGhFCj2zS9%2f7MLDxDk6M6X4p9Or194d9VZHcyxpxygzggKIbET8uWAyuz%2bAh2uQ7w7%2fFphJA%3d%3d,"8,33","0,00","0,20","0,00","0,00","60,00","4,58","16,00","88,92"
Crédit Mutuel,https://www.creditmutuel.fr/fr/vitrine/medias/docs/tarifs/convention-clarte/2022/clarte-pro-cmcee.pdf,"7,00","0,00","0,10","0,00","0,07","18,00","6,67","8,80","40,47"
La Banque Postale,https://www.labanquepostale.fr/content/dam/lbp/documents/pmo/pdf/2022/2022-Tarifs_entreprises%20INT.pdf,"15,00","0,00","0,00","0,00","0,00","14,67","12,50","13,00","55,17"
Société Générale,https://entreprises.societegenerale.fr/static/ent/ENT/EIE2015/_assets/docs/pdf/Tarifs_2022_FR.pdf,"8,00","0,00","0,21","0,00","0,00","30,00","33,33","29,90","101,23"
